"","A1.mzML","A10.mzML","A11.mzML","A12.mzML","A13.mzML","A14.mzML","A15.mzML","A2.mzML","A3.mzML","A4.mzML","A5.mzML","A6.mzML","A7.mzML","A8.mzML","A9.mzML","pooled_QC_1.mzML"
"14854_257.049_4.189",2.18466583032825e-06,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,5.21574462212727e-07,4.47151232183993e-07,6.61837487409464e-07,5.29176164766434e-07,5.55286710936724e-07,6.85802651811377e-05,0.000159914855432659,4.70749194105571e-06,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,5.69452843020282e-05
"13878_257.049_3.994",5.20451864180101e-06,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,5.21574462212727e-07,4.47151232183993e-07,6.61837487409464e-07,2.46699694929203e-06,3.68245472015173e-07,0.000259662252020818,0.000690671127400178,1.00488898726706e-05,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,0.000228236790557019
"13507_257.049_3.909",1.50498253809873e-07,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,5.21574462212727e-07,4.47151232183993e-07,6.61837487409464e-07,8.1262175313854e-07,3.68245472015173e-07,7.37145348664089e-05,0.000193702134365449,2.96651978297151e-06,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,6.68426359068047e-05
"11021_257.049_3.398",4.99632500116495e-06,4.09473456195516e-06,2.927393868647e-06,2.04695619091898e-06,1.71208038179728e-05,5.78126121758766e-05,5.13992047862359e-06,2.83847263509932e-06,1.77105317140083e-06,8.48211968556676e-05,4.83572706254728e-05,7.01070247357747e-06,6.39529299342896e-05,1.92333369420457e-06,1.64322362814091e-05,0.00010914184390949
"5770_257.067_2.251",2.46667578608468e-05,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,1.92884607632481e-06,1.82631324295869e-06,6.61837487409464e-07,3.85824831529593e-05,1.03956933980971e-05,1.66447559248617e-05,6.07806437053434e-05,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,1.35820096757374e-05
"19573_257.085_5.433",4.36289204560086e-06,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,5.21574462212727e-07,4.47151232183993e-07,6.61837487409464e-07,8.99082083905755e-08,1.03045798348077e-07,9.15479687303578e-06,1.99539644439606e-05,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,8.85197949227143e-06
"17708_257.086_4.915",1.50498253809873e-07,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,5.21574462212727e-07,4.47151232183993e-07,6.61837487409464e-07,8.99082083905755e-08,1.03045798348077e-07,2.18886094518215e-05,4.33333629081715e-05,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,1.7943631116715e-05
"39676_257.086_10.705",5.56819681702885e-05,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,5.21574462212727e-07,4.47151232183993e-07,6.61837487409464e-07,4.25803895664114e-06,1.52838464889853e-06,1.24713557743474e-06,2.79168589799228e-05,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,2.28882655796648e-07
"15418_257.086_4.308",9.05740220489097e-07,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,5.21574462212727e-07,4.47151232183993e-07,6.61837487409464e-07,6.187548697901e-07,1.03045798348077e-07,6.99347146002248e-05,0.000189434624264369,2.49554616705061e-06,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,6.20311973645503e-05
"7398_257.103_2.726",2.55960623454261e-05,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,4.3450842248942e-05,0.000200643099298432,5.16988261376667e-05,1.48854696407163e-05,1.14564468462922e-05,1.5512241313433e-05,2.88828172010946e-05,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,4.56583964976674e-05
"11373_257.103_3.44",6.53155238663643e-05,6.49872158214832e-06,3.01194321218986e-06,2.04695619091898e-06,0.000191686201400809,8.71263403630826e-05,5.6050004498187e-06,6.55452907545719e-05,2.00335774563676e-05,9.69237404385533e-05,8.698818086655e-05,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,0.000206401749325516
"8244_257.103_2.882",4.60127204451558e-05,6.17682426139662e-06,1.23424071028408e-05,2.04695619091898e-06,0.000296383484974929,7.18435852244421e-05,8.15436205025815e-06,1.67945243450515e-05,2.66127167820477e-05,7.60198296801631e-05,5.84985744297713e-05,2.98460325669219e-07,1.57932402791856e-05,1.92333369420457e-06,2.75815627240278e-06,0.000106731909816275
"9223_257.103_3.084",4.7617214822964e-05,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,0.0002280897102893,0.000277762713374165,2.2327851007133e-05,2.15233099097734e-05,6.18853017534195e-06,7.63343194323833e-05,0.000264466810648409,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,8.10777091816968e-05
"14943_257.103_4.202",5.14786289007131e-05,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,3.99080862397485e-05,3.69731350974585e-05,6.61837487409464e-07,4.76795693642294e-05,3.7772298051099e-05,1.3186170901975e-05,2.4056057860725e-05,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,2.77711779330702e-05
"13157_257.103_3.833",0.000169201509812466,0.000183313881857198,5.4037278972571e-05,9.01979987269396e-05,0.00169759412526792,0.000950698803775512,0.000281385667931405,0.000138537821445921,9.85433058672567e-05,3.08480373403366e-05,8.21648220778538e-05,2.98460325669219e-07,0.000122109773452455,1.92333369420457e-06,3.44209408928255e-05,0.000495637874413151
"9990_257.103_3.209",5.68791475751975e-05,1.94403130323306e-05,1.3052342637954e-05,4.74035626649294e-06,0.000223345178558869,0.000134203062326678,2.85546715423554e-05,3.07169514067499e-05,2.22948835428417e-05,0.000123138539203389,0.000159126210466395,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,0.00042050550405616
"24612_257.14_7.038",0.000113948675441464,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,3.55239772801631e-05,4.5078967127269e-05,6.61837487409464e-07,6.00135298722928e-05,6.56894915010097e-05,1.50744650916883e-05,3.49724097848585e-05,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,0.000109874718370533
"11482_257.14_3.477",1.16320276521016e-05,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,5.8324791595742e-05,3.43051579823718e-05,1.06505926909669e-05,5.97315092779395e-06,1.2305695280453e-05,5.59839465032634e-05,0.000148373723966087,1.86403803388064e-06,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,4.94354180836237e-05
