"","A1.mzML","A10.mzML","A11.mzML","A12.mzML","A13.mzML","A14.mzML","A15.mzML","A2.mzML","A3.mzML","A4.mzML","A5.mzML","A6.mzML","A7.mzML","A8.mzML","A9.mzML","pooled_QC_1.mzML"
"34864_790.899_11.223",0,0,0,0,0,0,0,0,0,31327.9475,186845.155,37476.6405,0,0,0,624.53395
"9435_791.476_3.886",7359.08885,0,0,0,0,0,0,0,847.22795,151596.97,257286.34,145116.695,0,146.11722,143670.245,52089.916
"44915_791.558_13.572",12083.025,12881.818,0,130881.352,2421.235475,0,478.64862,25819.418,22113.4375,0,6812.46615,10638.1695,0,0,4513.86385,11300.5415
"22606_792.55_8.26",0,0,0,0,0,0,0,0,0,42436.4255,200275.41,108396.3675,0,0,125839.22,9006.5995
"17899_792.568_6.871",228651.455,766.70295,0,1285.249,0,0,0,254931.555,340682.595,78351.722,306336.275,221998.14,2338.297,86.686645,658001.675,58838.015
"34770_792.671_11.215",0,0,0,0,0,0,0,0,0,0,9340.8025,185834.14,134778.748,1665.937825,0,0
"36350_792.671_11.553",0,0,0,0,0,0,0,0,0,0,18243.1875,211027.396,138833.363,4850.07765,0,0
"38176_792.672_12.072",0,0,0,0,0,0,0,0,0,0,120413.2428,610569.7495,239281.4975,5049.1255,0,0
"41484_792.672_12.796",0,0,0,0,0,0,0,0,0,1756.6955,7310.545,90066.7525,10146.4631,0,0,0
"42718_792.672_13.103",0,0,0,0,0,0,0,0,0,0,3468.27845,73285.18435,26525.35395,0,0,0
"39455_792.672_12.37",0,0,0,0,0,0,0,0,0,0,112229.791,476907.875,217967.53,1307.2788,0,0
"42998_793.435_13.166",0,0,0,6265.499,0,1388.39345,503.98657,0,25385.6425,111589.615,356626.63,0,1492.7932,2052.8735,0,0
"23969_793.492_8.611",8394.1995,0,0,0,0,0,0,2809.618,11265.96065,893.1444,5519.1216,9863.33765,0,0,92599.115,1207.60425
"22638_793.493_8.27",0,0,0,0,0,0,0,0,0,4498.204,28737.9795,19578.3825,0,0,2678.2832,1603.73475
"36628_793.527_11.675",0,0,108599.625,93576.405,77936.19,0,54142.845,91521.953,180934.7,52285.02,171477.05,212380.0025,135740.265,236729.86,46056.015,99011.735
"19558_793.539_7.489",0,0,0,0,0,0,0,0,0,70933.703,230353.46,123310.7,0,0,183049.72,21309.721
"29406_793.565_10.069",74108.5775,13900.312,0,6177.07565,10938.84585,24107.296,3659.46775,167484.275,250883.16,20216.837,112613.76,65379.443,0,0,631122.18,42747.342
"40388_793.64_12.598",0,0,0,0,0,0,0,2142.70285,0,4572.3159,18591.1405,13815.3415,0,0,124494.0275,4969.9547
"28652_794.409_9.846",30206.482,0,0,0,0,0,0,22389.343,34735.9765,10770.999,43584.268,62711.844,0,0,19051.6895,1902.23265
"14911_794.547_5.706",56564.6365,812.46825,0,1194.31665,0,0,0,67947.0505,88521.825,20672.359,135883.55,65844.446,138.9548,0,150573.1,15860.644
"45675_794.651_13.715",1910.8827,0,0,0,0,0,0,573.13975,1111.21215,34836.73,4760.735,0,0,0,0,0
"40978_794.687_12.709",0,0,0,0,0,0,0,0,0,0,0,551.57885,0,24594.27,5413.8265,0
"45938_794.688_13.799",0,0,0,0,0,0,0,0,0,0,0,0,403.388915,23471.98412,10531.7775,0
"20554_795.508_7.768",14535.428,0,0,0,0,0,0,43706.4945,52892.097,48713.5485,316121.69,167900.47,0,0,302241.09,22067.5
"43511_795.544_13.267",0,0,0,0,454.15415,549.6626,1799.681,13706.5205,12151.99445,21143.6505,0,0,0,0,0,53835.17145
"27464_795.544_9.474",20754.4165,0,0,0,0,0,0,35403.2775,34795.4875,1793.13035,79234.8045,25544.163,887.454175,0,305190.705,9186.4105
"26394_795.544_9.226",57268.6675,0,0,0,0,0,0,43965.125,56863.5865,2271.23975,20086.7755,13022.999,1054.920785,0,135608.07,3882.028
"21789_795.544_8.075",1522606.75,22268.8895,1568.49485,29235.7675,47967.846,83720.87,37104.205,1795104.8,1858636.2,92514.6925,649935.85,342851.78,13290.34,1697.07475,1654690.05,183870.35
"26943_795.545_9.35",42392.1565,5117.1881,1104.4441,3696.7052,2538.3725,0,0,61996.148,76297.695,7570.4597,42305.808,15772.2725,1257.27275,1383.59055,353213.76,14414.2685
"36451_795.571_11.591",703.8861,0,0,0,0,0,0,0,0,18296.551,84998.055,12095.43035,0,0,0,0
"38091_795.581_12.038",3615.282,846.5915,0,2720.35475,0,0,0,2851.95675,1110.323,681.2334,8984.91985,6130.40285,0,0,1671152.2,49356.1735
"45480_795.612_13.711",0,0,0,0,0,0,0,0,2465.6443,45866.0653,13581.507,0,0,0,0,0
"44016_795.613_13.364",0,0,0,0,0,0,0,0,0,9553.1875,0,0,0,0,0,0
"12043_796.527_4.605",77736.79,873.2942,0,0,0,0,0,83074.245,70171.15,6250.2744,47260.9905,30103.217,1042.089125,0,61576.477,5052.77415
"44852_796.542_13.58",0,0,0,0,4163.9739,16188.2205,4030.0335,0,0,0,0,0,0,0,0,2581.3182
"34876_796.589_11.225",2057.7018,322.1781,0,438.3961,0,0,0,2520.5144,0,74342.492,379643.55,157847.185,0,0,500456.205,35311.8415
"44918_796.608_13.572",9188.0415,4572.95785,0,44715.485,1034.90575,0,0,28419.236,20534.0375,0,4438.3157,2382.9271,0,0,2836.05685,3530.11925
"37961_796.609_12.015",0,0,4693.5403,0,43897.894,9262.3097,877.2927,0,17116.648,13872.265,1027.197,726.0736,2662.70935,0,0,665.249
"41678_796.69_12.843",0,12913.804,0,121149.427,2643.1493,0,0,0,0,0,0,1997.10865,0,0,0,8644.5308
"451_796.781_0.759",114018.11,0,1438.55345,10862.6855,0,0,0,12228.24675,55486.6375,15233.184,21073.6945,0,230.914565,3195.63745,0,0
"17891_797.523_6.877",43391.1955,0,0,0,0,0,0,53257.0185,67443.952,5296.02635,78568.1725,29245.332,0,0,113955.375,8603.83665
"42667_797.626_13.074",0,0,0,0,0,0,0,0,0,0,2060.3505,152814.3285,154638.1715,5433.7981,0,0
"38306_797.627_12.113",0,0,0,0,0,0,0,0,0,0,29284.8535,159008.7615,165314.94,24148.8715,0,0
"39418_797.627_12.365",0,0,0,0,0,0,0,0,0,0,64536.36735,395950.9365,585602.976,45871.69065,0,0
"41302_797.63_12.743",3739.1522,0,0,0,0,0,0,4095.93565,5302.49265,0,1042.344,118956.7915,55004.444,15902.1427,0,0
"38126_798.059_12.054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,187139.85,4118.94055
"6942_798.47_3.101",5849.17965,0,0,0,0,0,0,3686.5205,7172.19575,72263.935,208528.585,152019.22,0,0,6102.45675,22179.846
"9118_798.47_3.781",268523.905,27705.336,1542.62445,34158.2965,16710.1475,25902.4445,24457.5755,349137.655,275579.28,204011.435,676807.125,505438.4,2148.5654,208.331985,99683.315,116432.81
"7301_798.47_3.236",33501.3825,9367.7565,0,1629.25345,668.1074,2648.8883,0,28858.366,27411.828,204844.23,562217.875,468295.215,951.948665,0,29215.402,82399.22
"38278_798.561_12.096",0,0,441.696075,0,0,0,0,0,0,0,0,0,0,0,138529.94,3004.30665
"46186_798.706_13.851",0,0,0,49873.57,0,0,0,0,0,0,0,0,0,0,0,0
"45676_799.607_13.749",699.82715,0,0,0,0,0,0,0,648.77605,68742.8429,13736.5155,0,0,0,0,0
"41032_799.642_12.683",0,0,0,0,0,0,0,0,0,0,0,0,3384.564,166405.666,39587.855,0
"38970_799.645_12.302",0,0,0,0,0,0,0,0,864.2875,633.7876,0,0,1916.2895,102259.8605,7433.955,0
"45894_799.646_13.794",9215.21675,0,0,0,0,0,0,7345.32285,3375.65965,0,0,0,14445.63935,147226.441,29904.656,0
"38109_800.243_12.057",0,0,0,0,0,0,0,0,0,11782.7754,127832.125,21516.8395,0,0,0,0
"8271_800.486_3.529",179670.155,16501.1995,107.50744,11110.3315,13467.3805,13745.8775,15266.7905,221067.96,203521.055,1114385.25,4955788.5,2459409.65,1015.209965,476.871435,180650.905,375030.97
"20394_800.547_7.739",0,0,0,0,0,0,0,0,0,47727.5485,254575.64,149777.02,0,0,176595.235,17316.9585
"32688_800.903_10.817",0,0,0,0,0,0,0,0,0,11377.76245,189133.35,24823.7395,0,0,0,1002.972
"40043_801.419_12.492",0,7502.01565,0,23107.724,0,0,0,0,0,0,0,0,0,0,0,1607.86798
"12044_801.483_4.617",11089.487,0,0,0,0,0,0,23122.461,20146.2195,0,4997.1832,3168.7828,0,0,16031.074,0
"44853_801.497_13.581",0,0,0,0,1987.17635,8887.9275,1258.4775,0,0,0,0,0,0,0,0,0
"22889_801.521_8.335",0,0,0,0,0,0,0,0,0,49387.211,189208.03,122747.002,0,0,73197.7,2051.59815
"21383_801.521_7.99",0,0,0,0,0,0,0,0,0,47191.372,197405.215,121637.48,0,0,60569.455,7019.03535
"25196_801.557_8.895",2858.80275,0,0,0,0,0,0,0,0,0,0,0,0,0,40044.4705,0
"45354_801.585_13.66",164841.36,0,0,0,0,0,0,103814.795,34614.33,0,0,713.73085,0,0,0,0
