row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,A18.mzML Peak area,A7.mzML Peak area,A8.mzML Peak area,A16.mzML Peak area,A10.mzML Peak area,A9.mzML Peak area,A11.mzML Peak area,A12.mzML Peak area,A6.mzML Peak area,A17.mzML Peak area,A15.mzML Peak area,A14.mzML Peak area,A4.mzML Peak area,A13.mzML Peak area,pooled_QC_1.mzML Peak area,A5.mzML Peak area,A3.mzML Peak area,A2.mzML Peak area,A1.mzML Peak area
17358,341.1047413,4.811319,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,433.1786,36781.383,551.5602,8760.372,149544.31,1421.6627,2213.9175,1613.2909
16873,341.1051725,4.6645947,,,,1240,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,47147.164,0,16178.323,129196.6,1421.6627,2005.2739,895.041
17960,341.1053243,4.9650207,,,,33,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,32362.668,436.04578,14907.211,122479.555,1068.1235,962.21423,1756.9629
16167,341.1053921,4.5116353,,,,614,,,,,,,0,0,0,0,0,0,156.66528,0,0,0,0,0,107177.38,482.74188,46376.62,404976.66,2335.7764,538.0356,744.379
18457,341.1054966,5.0683594,,,,33,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,23235.785,0,9380.144,81336.055,1068.1235,0,3312.6953
15810,341.1244638,4.371201,,,,33,253,[M-2H2O-H]-,,2,15790;15810,378.15323,0,0,0,0,0,0,0,0,0,0,0,6486.622,2696.9092,7623.7344,20237.225,8394.198,22101.672,28644.418,39633.285
14295,341.1245188,4.0547075,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,8364.6,51090.254,5478.9136,62221.145,50461.945,14366.649,11731.426,27962.53,9561.238
13565,341.1245723,3.9056265,,,,,,,,,,,0,0,0,0,308.87668,0,0,151.88896,0,0,24569.432,54710.13,6657.7705,72437.29,53327.04,15092.225,19219.318,29729.533,40579.496
11672,341.1245727,3.508111,,,,33,,,,,,,0,0,0,0,0,0,0,0,0,0,7045.5093,93016.82,11719.751,129775.125,137739.03,42201.562,25365.908,58017.383,22307.72
8149,341.1246213,2.8369784,,,,33,,,,,,,0,0,0,0,0,0,0,0,0,0,2836.3303,12220.6875,27328.865,14763.673,24659.334,59925.38,7880.8066,25690.84,16240.305
19761,341.1258948,5.4879723,,,,33,,,,,,,0,0,0,0,0,0,0,0,0,358.8103,0,0,22406.342,351.08838,8813.079,136316.06,2389.9434,878.86523,2010.7169
23163,341.1393617,6.548999,,,,,,,,,,,0,0,0,0,1369.4745,0,0,0,0,0,2575.7168,11054.87,0,13314.783,5095.554,0,4183.3164,8816.442,1601.4327
26648,341.1424887,7.5601535,,,,33,,,,,,,0,0,0,0,0,0,0,0,13828.678,0,0,514.43835,803441.3,337.91522,349544.53,3108692.2,2878.9165,3862.4028,1276.4738
25626,341.1428441,7.2957897,,,,429,,,,,,,0,0,0,0,0,0,0,0,1866.0762,0,0,0,85825.875,0,65582.36,435228.66,0,871.98145,1021.9729
37015,341.1429845,10.11755,,,,,,,,,,,2800.5298,4184.4146,3037.7202,6419.336,3430.4756,3575.551,3276.4067,4066.3564,2411.2031,12073.257,3988.9963,4390.448,2226.8472,7172.095,8617.429,14193.485,5697.865,12791.959,12962.911
29333,341.1430066,8.178479,,,,,,,,,,,0,0,0,0,0,0,0,0,708.0138,0,0,0,127296.6,0,50311.44,471388.66,2502.8267,1715.368,1709.1091
31766,341.1431001,8.745937,,,,,,,,,,,0,0,0,0,0,0,0,0,6347.0376,0,0,411.47937,460770,0,542024.8,2022040.2,3106.1682,1799.9302,8700.587
30920,341.1431441,8.605065,,,,33,,,,,,,0,0,0,0,0,0,0,0,4758.283,0,0,0,278876.06,0,151013.69,1363098.5,6757.7637,13833.9795,3208.954
41840,341.1431457,11.11613,,,,102,617,[M-H]-,,2,41840;41576,342.15045,0,0,0,0,0,0,0,0,0,0,0,314.97302,0,0,2959.0696,2586.6562,7617.964,22522.52,30445.625
41377,341.1431552,10.976056,,,,102,587,[M-H]-,,2,41377;40905,342.15052,0,0,0,0,0,0,0,0,482.95898,307.96802,0,322.25726,973.835,862.9485,5468.7256,11966.921,20602.695,23942.861,56582.93
31347,341.1431761,8.675187,,,,33,,,,,,,0,0,0,0,0,0,0,0,9266.747,0,0,0,790384.75,0,129983.445,4970082,6757.7637,15174.365,4060.693
27466,341.1432432,7.7809253,,,,33,,,,,,,0,2677.974,0,0,0,204.43575,0,0,20450.35,0,0,5886.078,782974.25,448.5204,388702.66,3548575.5,10155.598,9959.768,13218.862
16881,341.160888,4.6688275,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2406.2957,37276.01,6352.293,18158.232,26465.527,24257.582,22968.725,13562.082,20178.176
13758,341.1608944,3.9574835,,,,33,,,,,,,0,657.70404,0,0,1184.4658,0,2214.4824,1462.3007,0,0,37673.016,217038.45,7323.239,252093.31,152104.05,24382.195,26981.164,41192.957,38126.32
16008,341.1609557,4.441061,,,,33,,,,,,,0,0,0,0,0,0,0,0,0,0,6512.9263,35355.87,8031.2363,51264.566,18992.654,8415.86,23522.201,32823.133,17688.523
32944,341.1794667,9.063774,,,,33,,,,,,,0,8783.825,155.06197,0,1509.2698,14184.7,4122.778,938.94275,768.3969,235.39757,2852.7388,54094.293,56505.047,13768.027,114474.58,492428,15618.548,30420.6,84555.68
30612,341.1795216,8.498647,,,,,,,,,,,0,0,0,0,0,0,0,0,8725.158,0,2074.4353,4228.0293,253109.02,752.8917,13242.912,471988.16,10478.749,8046.051,5160.358
35348,341.1796425,9.734524,,,,33,,,,,,,0,293.9949,0,0,218.65045,434.5035,182.78961,327.38483,508.40698,0,292.84103,11474.618,4327.5293,3264.5864,19328.875,41341.133,5360.323,15833.632,130749.9
31845,341.1796602,8.818647,,,,33,,,,,,,0,1418.7449,0,0,1220.449,1634.3596,1459.9413,993.574,8172.146,0,9794.523,19870.799,89585.54,5975.7686,52893.465,338970.88,33010.434,66607.11,43663.81
34096,341.179666,9.381969,,,,33,,,,,,,0,765.3272,0,0,437.80057,841.6996,696.85126,341.8516,787.48035,258.36658,772.70593,4372.5425,24295.273,6179.3467,16063.922,88041.72,12977.676,28883.4,75986.89
20475,341.1972225,5.7204638,,,,33,,,,,,,0,0,0,0,0,0,0,0,0,0,2613.4355,17304.186,3120.7837,12157.438,28470.062,4231.3877,53411.25,58227.668,76931.42
17685,341.1972643,4.907502,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,3775.7188,28325.645,4218.711,14564.529,43000.203,5787.6367,137201.16,141551.36,64283.09
19322,341.1972662,5.3480706,,,,33,,,,,,,0,0,0,0,0,0,0,0,0,0,2429.6987,27034.809,2180.149,11381.462,41252.406,4184.501,109329.45,142528.19,95538.87
16861,341.1973003,4.6741595,,,,33,,,,,,,0,0,0,0,0,0,0,0,0,0,3703.5383,58242.86,1865.4006,45536.24,28780.191,4619.165,102631.99,68239.63,59240.918
15858,341.1973308,4.40738,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2444.4836,38400.61,1275.3103,7732.497,35388.004,3847.8425,26197.506,54640.676,22843.738
17921,341.1973595,5.014581,,,,33,,,,,,,0,0,0,0,104.97193,210.61353,0,0,0,0,3773.4526,13137.496,4641.3506,56772.875,27095.64,5787.6367,173302.67,139812.78,78605.44
38322,341.2335329,10.424764,,,,33,464,[M-H2O+FA]-,,2,38322;38109,314.24595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4138.058,402.6043,21943.324,38806.484,29954.904
33277,341.233667,9.157984,,,,33,400,[M+FA]-,,2,33313;33277,296.23548,178.13249,448.47864,0,185.48886,0,564.6886,0,544.3887,334.04138,12250.908,249.25479,3611.0864,6197.8706,2227.0806,26868.398,31562.328,28842.559,52203.94,44679.895
28574,341.233687,8.039316,,,,33,,,,,,,0,708.1457,0,0,364.37695,344.53482,439.449,506.7602,0,397.80435,639.428,4327.4287,8303.013,3762.763,37751.195,23193.406,47655.926,170038.81,145518.31
