"","A1.mzML","A10.mzML","A11.mzML","A12.mzML","A13.mzML","A14.mzML","A15.mzML","A2.mzML","A3.mzML","A4.mzML","A5.mzML","A6.mzML","A7.mzML","A8.mzML","A9.mzML","pooled_QC_1.mzML"
"23537_293.176_6.677",7336.629,88,88,88,2904.729,7107.1543,245.21312,18685.469,14810.596,34362.7,99996.89,88,88,88,88,26244.658
"23236_293.176_6.553",18167.564,88,88,88,9955.209,4425.872,1265.057,7942.502,5799.3145,81356.29,165337.25,586.6776,88,88,88,20064.91
"19534_293.176_5.491",39423.71,4967.381,2310.848,2936.8362,309346.62,327156.12,77394.484,31698.535,16777.336,1461.5945,7324.0684,88,9816,88,521.947,139394.9
"21203_293.176_5.944",11513.352,88,88,88,39492.684,28190.146,6140.5713,12937.084,8669.984,2104.1082,9511.71,88,88,88,88,31839.898
"24241_293.176_6.912",8227694,194370.69,105959.7,192788.42,724828.06,1079429.4,196047.75,2584514.2,3465881,2478044.8,9468497,82378.97,423444.9,91208.89,206985.62,3821224.8
"25056_293.176_7.152",163389.44,7194.461,4503.3613,4004.2205,17988.66,17363.77,9924.496,31525.045,25630.309,105447.78,469768.62,9779.759,9076.734,6848.511,9285.694,79888.92
"42178_293.18_11.152",39445.1,33102.22,919792.2,1630848.8,447134.94,1113041.1,1787091.5,3276297.2,868935.75,2015337.8,72663.49,4329549,124005.055,509167.16,5445208.5,1065787.4
"41652_293.18_11.063",6068.7544,150720.08,2753877.8,4090817.2,1087651.4,1930984.8,3538312,5962208.5,4089607.5,4205559,375930,7474340.5,289028.4,1650850.8,933261.4,59064.637
"41157_293.18_10.993",3629.4104,417404.5,6441583.5,8233631,1705938.5,2913628.5,1305890.4,55900000,13600000,8514223,798099.94,16700000,489431.38,772824.1,10037.025,22460.605
"40097_293.18_10.861",874.51636,30677.49,88,88,2817.308,2170.752,1905.6223,6980083,12200000,10200000,1405516.4,47200000,40021.82,21581.19,15378.701,5298.329
"38278_293.18_10.439",996.9922,88,88,303.8392,1396.8569,3386.5576,2816.5437,2406627.2,67100000,3.8e+07,37377.793,11494.695,32359.422,8606.874,4394.2563,10523.499
"39258_293.18_10.634",437.4765,88,633.7688,437.62564,519.3986,1378.7871,834.2281,11500000,27900000,9759548,31806.223,4885232.5,31974.965,11781.609,10750.611,11323.698
"34320_293.18_9.42",2157.7822,88,88,88,321.92914,312.6416,334.8646,421496.2,63480.793,65179.64,26937.383,76602.04,15071.57,2510.2585,2543.1978,1051.6008
"35734_293.18_9.833",58543.85,304.6915,3267.9756,3055.6504,3500.4827,9773.868,3742.025,54339.805,3064038.5,88,29421.406,32025.5,14326.894,7656.1445,2817.5913,4885.8516
"36348_293.189_9.995",5175.868,88,88,88,88,88,88,5446.3037,88,88,611.436,307.23065,88,88,88,522.329
"33039_293.189_9.081",53262.625,88,88,88,88,88,88,52451.305,45228.51,88,1124.2145,88,88,88,88,10954.518
"30812_293.213_8.571",47745.727,88,88,557.67554,54767.332,73526.945,10253.484,165240.47,158137.42,18014.986,14238.016,2227.063,1995.3136,561.96906,1475.8771,38098.082
"28628_293.213_8.052",1826439.1,1987.2339,843.6541,1204.7477,44874.402,65649.98,4908.1763,2388893,2868904.8,51883.555,159281.67,1687.5984,6409.9155,926.36456,9149.405,1006071.25
"27796_293.213_7.871",55152.195,4972.511,968.43365,585.01996,5935.3984,14849.921,946.9398,103679.72,106515.57,4222.5947,3972.939,88,1256.0249,88,1032.7513,40569.04
"28876_293.213_8.092",680927.56,3906.5728,843.6541,1375.4641,7357.6387,38077.945,1592.5615,1528475.8,1049390.6,40244.793,121904.77,1325.1086,1966.9045,800.9224,3301.243,295609.38
"31580_293.213_8.737",272679.5,2182.3845,2229.463,1923.3484,18543.988,29189.385,2910.995,554548.8,427674.72,29367.236,34105.895,1847.3262,7500.977,561.68726,1553.5096,160779.44
"32179_293.213_8.799",174411.77,1241.9757,2229.463,1377.0597,11200.117,22876.307,3069.1846,239026.73,185292.38,7606.133,43466.594,791.6456,1747.7869,561.68726,1390.8497,61671.72
"31220_293.213_8.664",489572.84,3921.423,1729.114,2706.848,36700.953,38372.53,6579.241,795615.2,582122.1,17685.654,86585.98,2227.063,3504.5698,561.96906,1553.5096,251218.08
"25284_293.213_7.236",219340.16,1742.0035,238.11539,88,4694.8325,7913.4004,88,198885.8,192087.66,2318.6147,2768.5127,88,88,88,88,55040.69
"6102_293.943_2.317",88,143.91847,88,1310.7065,1037.881,955.80054,233.361,88,88,70833.164,91824,4850.8677,88,88,114.817566,10865.379
"25258_294.066_7.233",18465.121,88,88,88,25336.688,21677.607,2222.356,1905.7307,950.8893,1016.51855,3616.5881,88,88,88,88,15665.878
"28025_294.066_7.903",25312.475,88,88,88,44676.71,37632.242,3088.1863,2872.1123,88,1020.5128,6549.8984,88,88,88,88,30559.379
