FeatureID,Mass,Retention_time,A1.mzML,A2.mzML,A3.mzML,A4.mzML,A5.mzML,A6.mzML,A7.mzML,A8.mzML,A9.mzML,A10.mzML,A11.mzML,A12.mzML,A13.mzML,A14.mzML,A15.mzML,pooled_QC_1.mzML
21191,241.145,5.899,0.000106003,4.33E-05,6.38E-05,6.65E-05,9.11E-05,6.51E-06,0.000268686,6.65E-05,0.000162157,0.00033566,0.000146057,0.00012648,0.000705665,0.00020734,7.59E-05,0.000154187
25178,241.145,7.194,0.000677195,0.000418701,0.000345363,0.000182289,0.000459617,1.77E-05,0.000269509,4.27E-05,0.000297449,0.000215189,5.43E-05,0.000107113,0.000286906,0.000323343,3.54E-05,0.000720028
23991,241.145,6.835,0.000187372,0.000116564,6.89E-05,0.000129851,0.000126935,1.70E-05,0.00046709,0.000123956,0.000134799,0.00021293,0.000139788,0.000141887,0.000308508,0.000369936,4.33E-05,0.000467143
23742,241.145,6.77,0.00013895,5.87E-05,7.79E-05,6.73E-05,8.49E-05,5.55E-06,0.000358673,9.06E-05,9.86E-05,8.19E-05,6.47E-05,5.34E-05,0.000100715,0.000100423,3.33E-05,0.000226975
18105,241.145,5.02,4.45E-05,3.21E-05,3.80E-05,2.04E-05,1.21E-05,2.98E-07,2.05E-05,1.92E-06,4.56E-06,7.90E-05,7.65E-06,3.42E-05,6.08E-05,7.96E-05,8.41E-06,7.88E-05
32809,241.181,9.013,1.72E-05,4.51E-06,3.32E-06,1.33E-05,3.50E-05,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,5.22E-07,4.00E-06,6.62E-07,8.26E-06
31461,241.181,8.723,2.43E-05,9.46E-06,1.33E-05,1.25E-05,4.41E-05,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,5.87E-06,2.23E-06,6.62E-07,2.47E-05
29549,241.181,8.259,0.000393702,0.000120568,0.000110813,1.69E-05,4.73E-05,3.57E-06,4.97E-05,3.37E-06,4.57E-05,3.30E-05,2.60E-05,4.86E-05,5.91E-05,7.88E-05,8.78E-06,0.000175831
30713,241.181,8.536,0.00011104,5.21E-05,4.03E-05,1.17E-05,2.32E-05,3.05E-06,4.41E-05,1.37E-05,2.85E-05,4.69E-05,2.61E-05,4.60E-05,1.64E-05,1.49E-05,7.85E-06,6.05E-05
28080,241.181,7.93,4.40E-05,4.49E-05,7.57E-05,1.20E-05,3.85E-05,6.18E-07,1.48E-05,1.92E-06,2.16E-05,5.34E-06,6.29E-06,2.09E-05,3.85E-05,8.11E-05,1.24E-05,7.53E-05
34021,241.217,9.336,4.03E-05,5.79E-05,2.29E-05,9.08E-07,6.30E-06,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,5.22E-07,4.47E-07,6.62E-07,1.79E-05
16758,241.994,4.64,0.000273842,5.05E-05,0.000259845,1.62E-05,0.000135263,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,2.16E-06,6.29E-06,6.92E-05,5.41E-05,6.62E-07,0.000278897
