featureIDs,A1.mzML,A2.mzML,A3.mzML,A4.mzML,A5.mzML,A6.mzML,A7.mzML,A8.mzML,A9.mzML,A10.mzML,A11.mzML,A12.mzML,A13.mzML,A14.mzML,A15.mzML,pooled_QC_1.mzML,logFC,pvalue,logpval,Sample_Type,Molecule,Compound_Class
24143,0.000112918,5.43E-05,4.47E-05,4.39E-06,1.38E-05,2.98E-07,0.000162556,2.40E-05,8.45E-05,0.000329061,0.000274826,7.26E-05,0.000125364,0.000107165,2.77E-05,0.000132695,-1.486433829,0.097993118,1.008804425,Not Significant,,
34436,1.50E-07,8.75E-05,6.22E-05,1.47E-06,3.79E-07,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,5.22E-07,4.47E-07,6.62E-07,2.29E-07,3.470946543,0.182351144,0.739091508,Not Significant,,
26137,8.94E-05,2.05E-05,1.73E-05,2.38E-06,9.13E-06,2.98E-07,1.56E-05,2.56E-05,2.76E-06,0.000209094,0.000227484,4.05E-05,2.06E-05,3.45E-05,2.52E-06,5.18E-05,-2.132095429,0.159258334,0.797897832,Not Significant,,
25230,5.27E-05,2.06E-05,1.45E-05,2.98E-06,1.23E-05,2.98E-07,3.57E-05,1.92E-06,2.76E-06,0.000149227,9.61E-05,3.60E-05,2.70E-05,2.91E-05,6.62E-07,3.81E-05,-1.818723336,0.137443132,0.861876957,Not Significant,,
23590,8.67E-05,3.10E-05,2.80E-05,4.28E-06,1.53E-05,2.98E-07,8.71E-05,3.89E-06,2.03E-05,0.000260039,0.00017248,5.23E-05,4.95E-05,6.20E-05,7.41E-06,6.87E-05,-1.709665284,0.137571215,0.861472427,Not Significant,,
24553,7.40E-05,1.82E-05,2.12E-05,2.11E-06,8.37E-06,2.98E-07,3.30E-05,1.92E-06,2.76E-06,0.000220476,9.36E-05,3.41E-05,3.38E-05,3.37E-05,6.62E-07,4.75E-05,-1.947989069,0.180087643,0.744516087,Not Significant,,
31855,0.000180853,9.93E-05,8.58E-05,1.78E-05,5.87E-05,2.98E-07,2.66E-05,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,1.64E-05,2.60E-05,6.62E-07,9.13E-05,2.631393181,0.062299133,1.205517996,Not Significant,,
24111,7.08E-05,2.69E-05,2.33E-05,2.42E-05,6.61E-05,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,3.34E-05,4.68E-05,1.98E-06,2.60E-05,0.694651893,0.459547798,0.337669311,Not Significant,,
25009,0.000130799,4.32E-05,4.88E-05,8.14E-05,0.00021665,8.17E-07,2.29E-05,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,4.92E-05,4.92E-05,4.21E-06,4.81E-05,1.727790932,0.131571909,0.880836824,Not Significant,,
29851,8.49E-05,5.46E-05,4.30E-05,1.05E-05,3.68E-05,8.50E-07,7.45E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,1.87E-05,2.34E-05,6.62E-07,5.68E-05,1.674572516,0.11202519,0.950684311,Not Significant,,
32288,0.000150114,9.57E-05,8.96E-05,2.01E-05,7.04E-05,1.12E-06,2.17E-05,1.92E-06,4.86E-06,4.09E-06,1.80E-06,2.05E-06,1.24E-05,2.25E-05,6.62E-07,9.23E-05,2.803379259,0.0407369,1.390012026,Significant in SMRW,,
23302,0.000125519,2.14E-05,3.48E-05,3.73E-05,0.000126129,7.68E-07,6.52E-05,1.92E-06,2.46E-05,3.63E-05,1.80E-06,1.38E-05,0.000106015,0.00010198,1.23E-05,8.84E-05,0.100128353,0.89812327,0.046664051,Not Significant,,
22115,6.35E-05,2.37E-05,4.22E-05,7.35E-06,3.21E-05,2.98E-07,2.51E-06,1.92E-06,2.76E-06,1.31E-05,1.80E-06,2.93E-06,7.14E-05,5.01E-05,1.76E-05,6.48E-05,-0.416740274,0.64449969,0.190777287,Not Significant,,
31655,0.000145515,0.000134968,6.72E-05,8.22E-06,2.43E-05,2.98E-07,5.88E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,1.94E-05,1.52E-05,6.62E-07,0.000103564,2.593261157,0.103390535,0.985519218,Not Significant,,
32617,0.000475382,0.00010529,0.000106334,3.40E-06,1.56E-05,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,2.58E-05,1.45E-05,6.62E-07,0.000117894,3.281973422,0.206634036,0.684798141,Not Significant,,
33459,0.000166869,6.72E-05,5.05E-05,5.98E-05,7.03E-05,2.98E-07,9.36E-06,1.92E-06,1.04E-05,4.09E-06,1.80E-06,1.69E-05,1.49E-05,3.98E-05,2.49E-06,7.84E-05,1.863793741,0.089035487,1.050436862,Not Significant,,
28003,1.82E-05,5.52E-06,1.88E-05,2.70E-06,5.07E-06,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,7.08E-05,3.01E-05,7.65E-06,2.25E-05,-1.596576443,0.302283089,0.519586148,Not Significant,,
15296,1.20E-06,8.99E-08,9.01E-07,1.95E-06,1.77E-06,6.94E-07,0.000246591,1.40E-05,0.000139031,8.94E-05,3.68E-05,6.60E-05,2.33E-05,1.79E-05,3.36E-05,1.89E-05,0.020483534,0.984242445,0.00689791,Not Significant,,
24056,1.00E-05,1.02E-05,4.50E-06,6.41E-05,2.43E-05,2.98E-07,2.48E-05,1.92E-06,2.76E-06,6.60E-05,1.14E-05,4.94E-05,3.41E-05,2.90E-05,6.62E-07,3.14E-05,-1.00043917,0.212784428,0.672060159,Not Significant,,
15862,7.58E-05,9.04E-06,2.55E-05,1.26E-07,9.43E-08,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,5.22E-07,4.47E-07,6.62E-07,2.20E-05,3.039601286,0.202621789,0.693313855,Not Significant,,
16243,8.87E-05,1.27E-05,5.86E-05,1.26E-07,9.43E-08,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,2.08E-05,1.45E-05,6.62E-07,3.15E-05,1.34863302,0.341170796,0.467028151,Not Significant,,
14867,0.000729091,6.99E-05,0.000275298,1.39E-06,8.16E-06,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.67E-05,2.05E-06,5.68E-05,4.78E-05,6.62E-07,0.000167341,2.505756043,0.258260327,0.587942304,Not Significant,,
7713,3.62E-05,1.59E-05,1.01E-05,1.95E-06,7.53E-06,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,6.74E-06,2.34E-06,6.62E-07,1.11E-05,1.577673438,0.169896494,0.769815583,Not Significant,,
6448,7.02E-05,6.38E-05,4.38E-05,9.03E-06,3.01E-05,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,1.41E-05,7.90E-06,6.62E-07,2.87E-05,2.289528046,0.069628974,1.157210005,Not Significant,,
