"featureIDs","A1.mzML","A2.mzML","A3.mzML","A4.mzML","A5.mzML","A6.mzML","A7.mzML","A8.mzML","A9.mzML","A10.mzML","A11.mzML","A12.mzML","A13.mzML","A14.mzML","A15.mzML","logFC","pvalue","logpval","Sample_Type"
38483,7.09e-06,6.49e-06,5.23e-06,9.13e-06,6.72e-06,4.61e-07,1.89e-07,3.32e-07,1.33e-08,5.04e-08,2.23e-07,5.18e-08,2.71e-08,2.82e-08,3.1e-08,5.85211780114584,0.0128366921234139,1.89154687483644,"Significant in SMRW"
43822,1.3e-05,9.29e-06,8.8e-06,9.53e-07,1.25e-08,1.67e-08,1.89e-07,3.32e-07,1.33e-08,5.04e-08,2.23e-07,5.18e-08,2.71e-08,2.82e-08,3.1e-08,5.72316084810887,0.0740977052154462,1.13019524178722,"Not Significant"
40509,1.5e-08,1.43e-08,1.61e-08,7.74e-07,2.29e-05,6.79e-06,1.89e-07,3.32e-07,0.000104971,5.04e-08,2.23e-07,5.18e-08,2.71e-08,2.82e-08,3.1e-08,7.78355085596568,0.227475168535028,0.643066004531265,"Not Significant"
10318,9.92e-05,0.000101342,1.4e-05,3.41e-08,1.25e-08,1.67e-08,1.89e-07,3.32e-07,1.33e-08,5.04e-08,2.23e-07,5.18e-08,2.71e-08,2.82e-08,1.24e-05,3.48829441659349,0.174273333838189,0.758769060697837,"Not Significant"
12472,0.00021002,8.04e-05,0.000129767,3.41e-08,1.25e-08,1.67e-08,1.89e-07,3.32e-07,1.33e-08,2e-05,2.23e-07,5.18e-08,2.71e-08,2.82e-08,3.1e-08,3.7842319950587,0.132238792520558,0.878641124984497,"Not Significant"
7891,1e-05,6.21e-06,5.77e-07,0.00213924,0.001675299,0.001634708,8.59e-06,7.68e-06,0.000221871,9.95e-06,2.23e-07,1.33e-05,2.71e-08,2.82e-08,3.1e-08,7.33461525828609,0.0691510837179629,1.16020100935014,"Not Significant"
8342,1.5e-08,7.15e-07,1.61e-08,0.000566041,0.000514967,0.0004582,1.1e-06,1.3e-06,4.29e-05,5.04e-08,2.23e-07,7.17e-07,2.71e-08,2.82e-08,3.1e-08,9.93891956309581,0.0717604125062216,1.14411507346646,"Not Significant"
15088,1.5e-08,1.43e-08,1.61e-08,6.31e-05,9.09e-05,7.17e-05,1.89e-07,3.32e-07,6.55e-06,5.04e-08,2.23e-07,5.18e-08,2.71e-08,2.82e-08,3.1e-08,8.55912204111633,0.0745256364814001,1.12769430621543,"Not Significant"
14093,1.5e-08,9.6e-07,1.61e-08,3.46e-05,2.66e-05,3.31e-05,1.89e-07,3.32e-07,6.34e-05,5.04e-08,2.23e-07,5.18e-08,2.71e-08,2.82e-08,3.1e-08,8.01087933708158,0.0500014152753751,1.30101770291224,"Not Significant"
13642,1.5e-08,2.62e-06,1.61e-08,1.63e-05,1.48e-05,1.49e-05,1.89e-07,3.32e-07,6.28e-05,5.04e-08,2.23e-07,5.18e-08,2.71e-08,2.82e-08,3.1e-08,7.50306865516706,0.103444889746912,0.985290958932854,"Not Significant"
23356,1.5e-08,1.43e-08,1.61e-08,5.64e-05,6.41e-05,4.33e-05,1.89e-07,3.32e-07,2.66e-05,5.04e-08,2.23e-07,5.18e-08,2.71e-08,2.82e-08,3.1e-08,8.27324817575608,0.0465113038340126,1.3324414859028,"Significant in SMRW"
30609,2.32e-05,2.8e-05,2.93e-05,7.33e-06,2.51e-05,4.87e-06,5.6e-05,6.72e-05,0.000105763,1.95e-05,6.39e-05,3.82e-05,3.15e-06,8.79e-06,1.02e-05,0.685525877704064,0.327756635585756,0.484448507054794,"Not Significant"
31373,0.000196494,0.000232309,0.000418691,1.98e-05,1.85e-05,2.9e-05,0.000121649,1.07e-05,0.000685232,0.000221793,6.02e-05,0.00018139,3.46e-05,2.6e-05,1.04e-05,1.11184273925638,0.247340999532815,0.606703888511247,"Not Significant"
